,Trial_num,image_path,ground_truth,image_name,demos.thisRepN,demos.thisTrialN,demos.thisN,demos.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,block2.thisRepN,block2.thisTrialN,block2.thisN,block2.thisIndex,block1_rep2.thisRepN,block1_rep2.thisTrialN,block1_rep2.thisN,block1_rep2.thisIndex,block2_rep.thisRepN,block2_rep.thisTrialN,block2_rep.thisN,block2_rep.thisIndex,text_3.started,text_3.stopped,text_4.started,text_4.stopped,text.started,text.stopped,trail_num.started,trail_num.stopped,image_6.started,image_6.stopped,Judgement.keys,Judgement.rt,Judgement.started,Judgement.stopped,text_19.started,text_19.stopped,text_12.started,text_12.stopped,image.started,image.stopped,text_2.started,text_2.stopped,text_13.started,text_13.stopped,session,date,expName,psychopyVersion
256,Trial # 104,Group1-stimuli/group1-block2/real-group1-b2/Group1_IMG_0033.jpg,1,Group1_IMG_0033.jpg,,,,,,,,,0.0,103.0,103.0,103.0,,,,,,,,,,,,,,,1352.502117527998,None,,,1,0.4800891800550744,1354.9857967540156,None,1354.9857967540156,None,,,1353.8185337859904,None,,,,,1,2022_Mar_31_1435,Real-fake-judgement-flashing-group1,2021.1.2
257,Trial # 105,Group1-stimuli/group1-block2/real-group1-b2/Group1_IMG_0079.jpg,1,Group1_IMG_0079.jpg,,,,,,,,,0.0,104.0,104.0,104.0,,,,,,,,,,,,,,,1355.485801612027,None,,,1,0.6634589270688593,1357.9704420969356,None,1357.9704420969356,None,,,1356.7861307699932,None,,,,,1,2022_Mar_31_1435,Real-fake-judgement-flashing-group1,2021.1.2
258,Trial # 106,Group1-stimuli/group1-block2/fake-group2-b2/encoded_Group2_IMG_9909.jpg,0,encoded_Group2_IMG_9909.jpg,,,,,,,,,0.0,105.0,105.0,105.0,,,,,,,,,,,,,,,1358.6538752709748,None,,,0,0.3376992170233279,1361.104189459933,None,1361.104189459933,None,,,1359.937197505962,None,,,,,1,2022_Mar_31_1435,Real-fake-judgement-flashing-group1,2021.1.2
259,Trial # 107,Group1-stimuli/group1-block2/fake-group2-b2/encoded_Group2_IMG_0398.jpg,0,encoded_Group2_IMG_0398.jpg,,,,,,,,,0.0,106.0,106.0,106.0,,,,,,,,,,,,,,,1361.4706706519935,None,,,0,0.4620890400838107,1363.9397900130134,None,1363.9397900130134,None,,,1362.7724598619388,None,,,,,1,2022_Mar_31_1435,Real-fake-judgement-flashing-group1,2021.1.2
260,Trial # 108,Group1-stimuli/group1-block2/real-group1-b2/Group1_IMG_4268.jpg,1,Group1_IMG_4268.jpg,,,,,,,,,0.0,107.0,107.0,107.0,,,,,,,,,,,,,,,1364.422142024967,None,,,1,0.3609464629553258,1366.8889900689246,None,1366.8889900689246,None,,,1365.722216960974,None,,,,,1,2022_Mar_31_1435,Real-fake-judgement-flashing-group1,2021.1.2
261,Trial # 109,Group1-stimuli/group1-block2/fake-group2-b2/encoded_Group2_IMG_9321.jpg,0,encoded_Group2_IMG_9321.jpg,,,,,,,,,0.0,108.0,108.0,108.0,,,,,,,,,,,,,,,1367.273946622037,None,,,0,0.8856500069377944,1369.7402382879518,None,1369.7402382879518,None,,,1368.5742499480257,None,,,,,1,2022_Mar_31_1435,Real-fake-judgement-flashing-group1,2021.1.2
262,Trial # 110,Group1-stimuli/group1-block2/fake-group2-b2/encoded_Group2_IMG_9964.jpg,0,encoded_Group2_IMG_9964.jpg,,,,,,,,,0.0,109.0,109.0,109.0,,,,,,,,,,,,,,,1370.6571609160164,None,,,0,0.8438275079242885,1373.1260591140017,None,1373.1260591140017,None,,,1371.9587761400037,None,,,,,1,2022_Mar_31_1435,Real-fake-judgement-flashing-group1,2021.1.2
263,Trial # 111,Group1-stimuli/group1-block2/real-group1-b2/Group1_IMG_0329.jpg,1,Group1_IMG_0329.jpg,,,,,,,,,0.0,110.0,110.0,110.0,,,,,,,,,,,,,,,1373.9917701450177,None,,,1,0.7027900409884751,1376.4591223179596,None,1376.4591223179596,None,,,1375.2924691250082,None,,,,,1,2022_Mar_31_1435,Real-fake-judgement-flashing-group1,2021.1.2
264,Trial # 112,Group1-stimuli/group1-block2/fake-group2-b2/encoded_Group2_IMG_0534.jpg,0,encoded_Group2_IMG_0534.jpg,,,,,,,,,0.0,111.0,111.0,111.0,,,,,,,,,,,,,,,1377.1941130449995,None,,,1,0.622152172960341,1379.6597337049898,None,1379.6597337049898,None,,,1378.4932869989425,None,,,,,1,2022_Mar_31_1435,Real-fake-judgement-flashing-group1,2021.1.2
265,Trial # 113,Group1-stimuli/group1-block2/fake-group2-b2/encoded_Group2_IMG_0054.jpg,0,encoded_Group2_IMG_0054.jpg,,,,,,,,,0.0,112.0,112.0,112.0,,,,,,,,,,,,,,,1380.310193139012,None,,,0,0.4790247220080346,1382.778902787948,None,1382.778902787948,None,,,1381.643738296931,None,,,,,1,2022_Mar_31_1435,Real-fake-judgement-flashing-group1,2021.1.2
266,Trial # 114,Group1-stimuli/group1-block2/real-group1-b2/Group1_IMG_9979.jpg,1,Group1_IMG_9979.jpg,,,,,,,,,0.0,113.0,113.0,113.0,,,,,,,,,,,,,,,1383.278996662004,None,,,1,0.4961844159988686,1385.761713815038,None,1385.761713815038,None,,,1384.5946941369912,None,,,,,1,2022_Mar_31_1435,Real-fake-judgement-flashing-group1,2021.1.2
267,Trial # 115,Group1-stimuli/group1-block2/real-group1-b2/Group1_IMG_0170.jpg,1,Group1_IMG_0170.jpg,,,,,,,,,0.0,114.0,114.0,114.0,,,,,,,,,,,,,,,1386.279318138957,None,,,1,0.7509008239721879,1388.7629226979334,None,1388.7629226979334,None,,,1387.5796640419867,None,,,,,1,2022_Mar_31_1435,Real-fake-judgement-flashing-group1,2021.1.2
268,Trial # 116,Group1-stimuli/group1-block2/fake-group2-b2/encoded_Group2_IMG_0007.jpg,0,encoded_Group2_IMG_0007.jpg,,,,,,,,,0.0,115.0,115.0,115.0,,,,,,,,,,,,,,,1389.5464880999643,None,,,0,0.4034149179933592,1392.0144938849844,None,1392.0144938849844,None,,,1390.8465470790395,None,,,,,1,2022_Mar_31_1435,Real-fake-judgement-flashing-group1,2021.1.2
269,Trial # 117,Group1-stimuli/group1-block2/real-group1-b2/Group1_IMG_0192.jpg,1,Group1_IMG_0192.jpg,,,,,,,,,0.0,116.0,116.0,116.0,,,,,,,,,,,,,,,1392.4484437429346,None,,,1,0.5113166089868173,1394.9145735519703,None,1394.9145735519703,None,,,1393.7475474799285,None,,,,,1,2022_Mar_31_1435,Real-fake-judgement-flashing-group1,2021.1.2
270,Trial # 118,Group1-stimuli/group1-block2/real-group1-b2/Group1_IMG_9786.jpg,1,Group1_IMG_9786.jpg,,,,,,,,,0.0,117.0,117.0,117.0,,,,,,,,,,,,,,,1395.4488327759318,None,,,1,0.5568543950794265,1397.9170327869942,None,1397.9170327869942,None,,,1396.7653882609447,None,,,,,1,2022_Mar_31_1435,Real-fake-judgement-flashing-group1,2021.1.2
271,Trial # 119,Group1-stimuli/group1-block2/real-group1-b2/Group1_IMG_0187.jpg,1,Group1_IMG_0187.jpg,,,,,,,,,0.0,118.0,118.0,118.0,,,,,,,,,,,,,,,1398.4997435240075,None,,,1,1.0995516640832648,1400.966311189928,None,1400.966311189928,None,,,1399.7993784119608,None,,,,,1,2022_Mar_31_1435,Real-fake-judgement-flashing-group1,2021.1.2
272,Trial # 120,Group1-stimuli/group1-block2/fake-group2-b2/encoded_Group2_IMG_0249.jpg,0,encoded_Group2_IMG_0249.jpg,,,,,,,,,0.0,119.0,119.0,119.0,,,,,,,,,,,,,,,1402.0839668789413,None,,,1,1.1634731779340657,1404.5344025499653,None,1404.5344025499653,None,,,1403.368403431028,None,,,,,1,2022_Mar_31_1435,Real-fake-judgement-flashing-group1,2021.1.2
273,Trial # 121,Group1-stimuli/group1-block2/fake-group2-b2/encoded_Group2_IMG_0074.jpg,0,encoded_Group2_IMG_0074.jpg,,,,,,,,,0.0,120.0,120.0,120.0,,,,,,,,,,,,,,,1405.7184286470292,None,,,1,0.3670436480315402,1408.1868197410367,None,1408.1868197410367,None,,,1407.119456593995,None,,,,,1,2022_Mar_31_1435,Real-fake-judgement-flashing-group1,2021.1.2
274,Trial # 122,Group1-stimuli/group1-block2/real-group1-b2/Group1_IMG_0243.jpg,1,Group1_IMG_0243.jpg,,,,,,,,,0.0,121.0,121.0,121.0,,,,,,,,,,,,,,,1408.585993757937,None,,,1,0.3247114659752697,1411.05318455596,None,1411.05318455596,None,,,1409.8860012789955,None,,,,,1,2022_Mar_31_1435,Real-fake-judgement-flashing-group1,2021.1.2
275,Trial # 123,Group1-stimuli/group1-block2/real-group1-b2/Group1_IMG_0130.jpg,1,Group1_IMG_0130.jpg,,,,,,,,,0.0,122.0,122.0,122.0,,,,,,,,,,,,,,,1411.4036069579888,None,,,1,0.4427366729360074,1413.8871479500085,None,1413.8871479500085,None,,,1412.7045553890057,None,,,,,1,2022_Mar_31_1435,Real-fake-judgement-flashing-group1,2021.1.2
