,Trial_num,image_name,image_path,pair_type,layers,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,block2.thisRepN,block2.thisTrialN,block2.thisN,block2.thisIndex,block3.thisRepN,block3.thisTrialN,block3.thisN,block3.thisIndex,image_8.started,image_8.stopped,selected_semantic.response,selected_semantic.rt,selected_semantic.started,selected_semantic.stopped,Instruction.started,Instruction.stopped,Trial_number.started,Trial_number.stopped,session,date,expName,psychopyVersion,Unnamed: 33
43,Trial # 44,layer6-8_O2_to_T12.jpg,layer6-8/layer6-8_O2_to_T12.jpg,OT,layer6-8,0.0,43.0,43.0,43.0,,,,,,,,,569.7644834229723,None,3.0,3.1442643622867763,569.7644834229723,None,569.7644834229723,None,569.7644834229723,None,1,2022_May_04_1839,Semantic-hierachy,2021.1.2,
44,Trial # 45,layer9-17_O2_to_O8.jpg,layer9-17/layer9-17_O2_to_O8.jpg,OO,layer9-17,0.0,44.0,44.0,44.0,,,,,,,,,573.2825714852661,None,4.0,3.841847202274949,573.2825714852661,None,573.2825714852661,None,573.2825714852661,None,1,2022_May_04_1839,Semantic-hierachy,2021.1.2,
45,Trial # 46,layer9-17_O10_to_O4.jpg,layer9-17/layer9-17_O10_to_O4.jpg,OO,layer9-17,0.0,45.0,45.0,45.0,,,,,,,,,577.4165856898762,None,2.0,15.173681749030948,577.4165856898762,None,577.4165856898762,None,577.4165856898762,None,1,2022_May_04_1839,Semantic-hierachy,2021.1.2,
46,Trial # 47,layer0-5_O1_to_O4.jpg,layer0-5/layer0-5_O1_to_O4.jpg,OO,layer0-5,0.0,46.0,46.0,46.0,,,,,,,,,593.7052750932053,None,1.0,1.882670103572309,593.7052750932053,None,593.7052750932053,None,593.7052750932053,None,1,2022_May_04_1839,Semantic-hierachy,2021.1.2,
47,Trial # 48,layer0-5_T4_to_T5.jpg,layer0-5/layer0-5_T4_to_T5.jpg,TT,layer0-5,0.0,47.0,47.0,47.0,,,,,,,,,595.9896621191874,None,1.0,2.287567590828985,595.9896621191874,None,595.9896621191874,None,595.9896621191874,None,1,2022_May_04_1839,Semantic-hierachy,2021.1.2,
48,Trial # 49,layer9-17_T12_to_T8.jpg,layer9-17/layer9-17_T12_to_T8.jpg,TT,layer9-17,0.0,48.0,48.0,48.0,,,,,,,,,598.5560624590144,None,2.0,1.8091102759353817,598.5560624590144,None,598.5560624590144,None,598.5560624590144,None,1,2022_May_04_1839,Semantic-hierachy,2021.1.2,
49,Trial # 50,layer0-5_T10_to_T5.jpg,layer0-5/layer0-5_T10_to_T5.jpg,TT,layer0-5,0.0,49.0,49.0,49.0,,,,,,,,,600.825278583914,None,1.0,2.658820764627308,600.825278583914,None,600.825278583914,None,600.825278583914,None,1,2022_May_04_1839,Semantic-hierachy,2021.1.2,
50,Trial # 51,layer6-8_O10_to_O8.jpg,layer6-8/layer6-8_O10_to_O8.jpg,OO,layer6-8,0.0,50.0,50.0,50.0,,,,,,,,,603.7747994931415,None,3.0,17.274026120081544,603.7747994931415,None,603.7747994931415,None,603.7747994931415,None,1,2022_May_04_1839,Semantic-hierachy,2021.1.2,
51,Trial # 52,layer9-17_O3_to_O5.jpg,layer9-17/layer9-17_O3_to_O5.jpg,OO,layer9-17,0.0,51.0,51.0,51.0,,,,,,,,,621.2646141741425,None,2.0,1.5383333605714142,621.2646141741425,None,621.2646141741425,None,621.2646141741425,None,1,2022_May_04_1839,Semantic-hierachy,2021.1.2,
52,Trial # 53,layer6-8_T1_to_T12.jpg,layer6-8/layer6-8_T1_to_T12.jpg,TT,layer6-8,0.0,52.0,52.0,52.0,,,,,,,,,623.0143243232742,None,3.0,11.311773493885994,623.0143243232742,None,623.0143243232742,None,623.0143243232742,None,1,2022_May_04_1839,Semantic-hierachy,2021.1.2,
53,Trial # 54,layer0-5_O4_to_O9.jpg,layer0-5/layer0-5_O4_to_O9.jpg,OO,layer0-5,0.0,53.0,53.0,53.0,,,,,,,,,634.8190407552756,None,1.0,2.6175888013094664,634.8190407552756,None,634.8190407552756,None,634.8190407552756,None,1,2022_May_04_1839,Semantic-hierachy,2021.1.2,
54,Trial # 55,layer0-5_O5_to_O9.jpg,layer0-5/layer0-5_O5_to_O9.jpg,OO,layer0-5,0.0,54.0,54.0,54.0,,,,,,,,,637.8187675722875,None,1.0,2.341565647162497,637.8187675722875,None,637.8187675722875,None,637.8187675722875,None,1,2022_May_04_1839,Semantic-hierachy,2021.1.2,
55,Trial # 56,layer0-5_O1_to_O2.jpg,layer0-5/layer0-5_O1_to_O2.jpg,OO,layer0-5,0.0,55.0,55.0,55.0,,,,,,,,,640.6698045632802,None,1.0,3.11980680283159,640.6698045632802,None,640.6698045632802,None,640.6698045632802,None,1,2022_May_04_1839,Semantic-hierachy,2021.1.2,
56,Trial # 57,layer9-17_T12_to_T3.jpg,layer9-17/layer9-17_T12_to_T3.jpg,TT,layer9-17,0.0,56.0,56.0,56.0,,,,,,,,,644.0375227979384,None,2.0,3.058937403839081,644.0375227979384,None,644.0375227979384,None,644.0375227979384,None,1,2022_May_04_1839,Semantic-hierachy,2021.1.2,
57,Trial # 58,layer0-5_O7_to_O9.jpg,layer0-5/layer0-5_O7_to_O9.jpg,OO,layer0-5,0.0,57.0,57.0,57.0,,,,,,,,,647.7723081270233,None,1.0,2.693196304142475,647.7723081270233,None,647.7723081270233,None,647.7723081270233,None,1,2022_May_04_1839,Semantic-hierachy,2021.1.2,
58,Trial # 59,layer0-5_T5_to_T9.jpg,layer0-5/layer0-5_T5_to_T9.jpg,TT,layer0-5,0.0,58.0,58.0,58.0,,,,,,,,,650.9238515361212,None,1.0,2.909507090225816,650.9238515361212,None,650.9238515361212,None,650.9238515361212,None,1,2022_May_04_1839,Semantic-hierachy,2021.1.2,
59,Trial # 60,layer9-17_O1_to_O9.jpg,layer9-17/layer9-17_O1_to_O9.jpg,OO,layer9-17,0.0,59.0,59.0,59.0,,,,,,,,,654.1235947213136,None,4.0,6.891002077609301,654.1235947213136,None,654.1235947213136,None,654.1235947213136,None,1,2022_May_04_1839,Semantic-hierachy,2021.1.2,
60,Trial # 61,layer0-5_O6_to_O7.jpg,layer0-5/layer0-5_O6_to_O7.jpg,OO,layer0-5,0.0,60.0,60.0,60.0,,,,,,,,,661.3925931421109,None,1.0,6.07113726483658,661.3925931421109,None,661.3925931421109,None,661.3925931421109,None,1,2022_May_04_1839,Semantic-hierachy,2021.1.2,
61,Trial # 62,layer9-17_T5_to_T6.jpg,layer9-17/layer9-17_T5_to_T6.jpg,TT,layer9-17,0.0,61.0,61.0,61.0,,,,,,,,,668.1785128400661,None,2.0,5.815739017445594,668.1785128400661,None,668.1785128400661,None,668.1785128400661,None,1,2022_May_04_1839,Semantic-hierachy,2021.1.2,
62,Trial # 63,layer9-17_T4_to_T9.jpg,layer9-17/layer9-17_T4_to_T9.jpg,TT,layer9-17,0.0,62.0,62.0,62.0,,,,,,,,,674.263312027324,None,2.0,2.022063727024942,674.263312027324,None,674.263312027324,None,674.263312027324,None,1,2022_May_04_1839,Semantic-hierachy,2021.1.2,
63,Trial # 64,layer0-5_O11_to_T1.jpg,layer0-5/layer0-5_O11_to_T1.jpg,OT,layer0-5,0.0,63.0,63.0,63.0,,,,,,,,,676.4975227080286,None,1.0,2.038361171260476,676.4975227080286,None,676.4975227080286,None,676.4975227080286,None,1,2022_May_04_1839,Semantic-hierachy,2021.1.2,
64,Trial # 65,layer6-8_T5_to_T9.jpg,layer6-8/layer6-8_T5_to_T9.jpg,TT,layer6-8,0.0,64.0,64.0,64.0,,,,,,,,,678.8975888523273,None,4.0,5.29594207694754,678.8975888523273,None,678.8975888523273,None,678.8975888523273,None,1,2022_May_04_1839,Semantic-hierachy,2021.1.2,
