,Trial_num,image_name,image_path,pair_type,layers,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,block2.thisRepN,block2.thisTrialN,block2.thisN,block2.thisIndex,block3.thisRepN,block3.thisTrialN,block3.thisN,block3.thisIndex,image_8.started,image_8.stopped,selected_semantic.response,selected_semantic.rt,selected_semantic.started,selected_semantic.stopped,Instruction.started,Instruction.stopped,Trial_number.started,Trial_number.stopped,session,date,expName,psychopyVersion,frameRate,Unnamed: 33
49,Trial # 50,layer0-5_T10_to_T5.jpg,layer0-5/layer0-5_T10_to_T5.jpg,TT,layer0-5,0.0,49.0,49.0,49.0,,,,,,,,,290.99818604812026,None,1.0,1.9475807598792017,290.99818604812026,None,290.99818604812026,None,290.99818604812026,None,1,2022_Apr_07_1150,Semantic-hierachy,2021.1.2,59.8348842750952,
50,Trial # 51,layer6-8_O10_to_O8.jpg,layer6-8/layer6-8_O10_to_O8.jpg,OO,layer6-8,0.0,50.0,50.0,50.0,,,,,,,,,293.6648396740202,None,2.0,2.372089138953015,293.6648396740202,None,293.6648396740202,None,293.6648396740202,None,1,2022_Apr_07_1150,Semantic-hierachy,2021.1.2,59.8348842750952,
51,Trial # 52,layer9-17_O3_to_O5.jpg,layer9-17/layer9-17_O3_to_O5.jpg,OO,layer9-17,0.0,51.0,51.0,51.0,,,,,,,,,297.15035054506734,None,2.0,1.5470261150039732,297.15035054506734,None,297.15035054506734,None,297.15035054506734,None,1,2022_Apr_07_1150,Semantic-hierachy,2021.1.2,59.8348842750952,
52,Trial # 53,layer6-8_T1_to_T12.jpg,layer6-8/layer6-8_T1_to_T12.jpg,TT,layer6-8,0.0,52.0,52.0,52.0,,,,,,,,,299.0161204061005,None,3.0,3.978667938848957,299.0161204061005,None,299.0161204061005,None,299.0161204061005,None,1,2022_Apr_07_1150,Semantic-hierachy,2021.1.2,59.8348842750952,
53,Trial # 54,layer0-5_O4_to_O9.jpg,layer0-5/layer0-5_O4_to_O9.jpg,OO,layer0-5,0.0,53.0,53.0,53.0,,,,,,,,,303.5180255139712,None,1.0,2.344667803961784,303.5180255139712,None,303.5180255139712,None,303.5180255139712,None,1,2022_Apr_07_1150,Semantic-hierachy,2021.1.2,59.8348842750952,
54,Trial # 55,layer0-5_O5_to_O9.jpg,layer0-5/layer0-5_O5_to_O9.jpg,OO,layer0-5,0.0,54.0,54.0,54.0,,,,,,,,,306.6197772889864,None,1.0,1.375658225035295,306.6197772889864,None,306.6197772889864,None,306.6197772889864,None,1,2022_Apr_07_1150,Semantic-hierachy,2021.1.2,59.8348842750952,
55,Trial # 56,layer0-5_O1_to_O2.jpg,layer0-5/layer0-5_O1_to_O2.jpg,OO,layer0-5,0.0,55.0,55.0,55.0,,,,,,,,,308.43581450311467,None,1.0,1.0283573209308088,308.43581450311467,None,308.43581450311467,None,308.43581450311467,None,1,2022_Apr_07_1150,Semantic-hierachy,2021.1.2,59.8348842750952,
56,Trial # 57,layer9-17_T12_to_T3.jpg,layer9-17/layer9-17_T12_to_T3.jpg,TT,layer9-17,0.0,56.0,56.0,56.0,,,,,,,,,309.8529611800332,None,2.0,1.692720773164183,309.8529611800332,None,309.8529611800332,None,309.8529611800332,None,1,2022_Apr_07_1150,Semantic-hierachy,2021.1.2,59.8348842750952,
57,Trial # 58,layer0-5_O7_to_O9.jpg,layer0-5/layer0-5_O7_to_O9.jpg,OO,layer0-5,0.0,57.0,57.0,57.0,,,,,,,,,312.0883348030038,None,1.0,3.0518640629015863,312.0883348030038,None,312.0883348030038,None,312.0883348030038,None,1,2022_Apr_07_1150,Semantic-hierachy,2021.1.2,59.8348842750952,
58,Trial # 59,layer0-5_T5_to_T9.jpg,layer0-5/layer0-5_T5_to_T9.jpg,TT,layer0-5,0.0,58.0,58.0,58.0,,,,,,,,,315.50491336593404,None,1.0,1.1917941221036017,315.50491336593404,None,315.50491336593404,None,315.50491336593404,None,1,2022_Apr_07_1150,Semantic-hierachy,2021.1.2,59.8348842750952,
